ISBN13,Title,Review,Rating
"=""9781617295508""",Python Workout,"A nice collection of exercises to learn Python. Not yet finished, but what is there is well prepared.",4
"=""9781524854072""",War and Peas: Funny Comics for Dirty Lovers,Hilarious!,5
"=""9781617294327""",Understanding API Security,"The other booklets that combine chapters from different books published by Manning where a lot better. They offered a nice and quick overview, while this one here looks like a grab what you can without putting any effort to it. Disappointing. ",1
"=""9781617295065""",Exploring the Data Jungle,"I liked the first chapter, but the booklet was not as good as [b:Exploring Data With Python|40682274|Exploring Data With Python|Naomi Ceder|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530458791l/40682274._SX50_.jpg|63262271]. ",2
"=""9781617296048""",Exploring Data With Python,"I found a few interesting Python libraries, but otherwise this booklet was not up to the other ones.",3
"=""9781617296581""",Exploring Python Basics,"A good quick read to see how different books published by Manning explain the basics of Python. This combination of chapters may not be a good help to learn Python, but it offers a useful insight into the different writing styles of the books it covers. If nothing else, it helps you to choose what book to buy.",4
"=""9781617295089""","Exploring .NET Core with Microservices, ASP.NET Core, and Entity Framework Core","A very interesting mix of chapters from different books published by Manning. While I was a bit disappointed of the lack of .Net Core, I found 2 interesting books that I otherwise would have missed (Re-Engineering & Mikado Method). ",4
"=""9781617297052""",Learn Docker in a Month of Lunches,"A very helpful book for Docker, especially when you try to run Docker on Windows with Windows containers. While not specially advertised for this scenario, I found solutions to many of my problems in this book. I can fully recommend this book for everyone who has done the tutorials and now needs to figure out the more realistic challenges.",5
"=""9781593279936""",Automate the Boring Stuff with Python: Practical Programming for Total Beginners,"A good book for people who want to learn Python. Not only offers this book a good introduction, it gives you a detailed explanation on how to use Python. This practical side lets you do something useful while you learn more and more about the language and the eco system.",4
"=""9780735273689""",Hyperfocus: How to Be More Productive in a World of Distraction,"A great book you must read. It explains how we loose focus all the time and how much time we waste by getting distracted – it is an awful lot of time. The book shows you ways to keep focused and get a lot more done in a time slot. Even better, it explains you how you can distract yourself on purpose. What sounds stupid is necessary to boost your creativity and to come up with new ideas. We need both modes of our brain and with the exercises in this book we can get a lot more done.",5
"=""9783864159275""","Am Arsch vorbei geht auch ein Weg - Wie sich dein Leben verbessert, wenn du dich endlich locker machst","Interessantes Buch das einem zum Nachdenken bewegt. Was mache ich, obwohl es mir weder Spass macht noch notwendig ist? Und was möchte ich mehr machen, kommt aber deswegen zu kurz? Die Beispiele im Buch zeigen exemplarisch was man alles nicht müsste. Auch bei Tätigkeiten und Aktivitäten die gemacht werden müssen, hat man die Möglichkeit diese angenehmer zu gestalten. <br/><br/>Was das für einem selbst ist, muss man aber selber herausfinden. Diese Arbeit kann und will dieses Buch einem nicht abnehmen. <br/>",4
"=""""",Refactoring Tweaks,"This book has an interesting style to explain the concept of Refactoring: It spends many more pages on the Why than on the refactoring itself. This context is often neglected and helps novices and advanced beginners to better understand the motivation behind the mechanics. I’m not fully convinced with the distribution between Why? and How?, but it is worth reading even when you are familiar with Refactoring.",4
"=""""",C# 6.0: What's New Quick Start,I was not really convinced when I read this book the first time as C# 6 was a new thing. Now it is a rather good quick refresher on what feature where introduced with C# 6 – even when I still find the book too shallow to understand the new concepts.,3
"=""9781596255845""",The Principles of Scientific Management [with Biographical Introduction],"If you ever heard of Taylorism or to tailor something in a project work, this book (or more precise its author) is what coined the term. First published in 1911, this book shows us a world that has absolutely no compassion for workers and their rights. Stupid muscle is what you need, and that is what you get – not humans. If you can bare that zeitgeist, you get an interesting read. Most fascinating for me is how much of his ideas are ignored by the very same people constantly referring to his principles. <br/><br/>Taylor explains in his book how you can improve productivity when every single part of work is done in a way that improves the overall productivity, not the most efficient processing of that single task. He explains this with moving iron ore around and the necessary breaks that need to go along. Without them, the men get overworked too fast and the overall productivity sinks. (Compare that with all the micro-optimisations in our time and how everyone ignores the overall productivity)<br/><br/>If you want your workers to do more work, you need to let them participate in the gains of their productivity. In short: pay them more! He explains in detail how much more that should be and shows that above that income the prospect of making more money is no longer a motivation. His example for this point are the workers who go to another steel factory with the promise of higher payment but return because the organisation has not done their homework and the workers earn substantially less. (individual bonus systems for things you only can achieve as a team)<br/><br/>There are many more examples on how his scientific method works that are by now completely forgotten. What was saved into our times is the exact measurement of every single task we do. Combine that with a wrongly understood concept of productivity and we end up exactly where we are. I hope more of the people using Taylor as an example would read his book. It would save us all a lot of troubles. <br/>",4
"=""9781942788003""","The DevOps Handbook: How to Create World-Class Agility, Reliability, and Security in Technology Organizations","The must-read book on DevOps. It explains what it is, what you can do and shows with many examples how DevOps worked in big companies. The selection of case studies is the only negative point I found. While it is great to understand how Netflix, Amazon, Facebook, Twitter and many more get their DevOps on that level, most (smaller) companies have to solve different problems. Nevertheless, definitely a good book and the ideal companion of [b:Accelerate: Building and Scaling High-Performing Technology Organizations|35747076|Accelerate  Building and Scaling High-Performing Technology Organizations|Nicole Forsgren|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520615948l/35747076._SX50_.jpg|57250986]. ",5
"=""9781787122567""",Python: Journey from Novice to Expert,"This book covers all the things you need to know about Python. Unfortunately, it is all inside one single book. With more than1300 pages you get a lot, but it is too big to keep it up to date. And since it tries to address everyone from Novice to Expert, you currently run into parts that are not much use for your understanding of Python. Combined with some strange decisions (like diving right after the installation into virtual environments) the book makes it unnecessarily hard to follow along. <br/><br/>Yes, there are many great parts; yes, every topic I can think of is covered; yes, I like how some concepts are explained multiple times in varying details depending on the level of the audience. And yet, I am not fully convinced that this is a helpful book. I would much more prefer a book per module. In this way it wold be much clearer who is the audience and it could be updated with greater ease. <br/>",3
"=""""",Mob Programming Guidebook,A good introduction into Mob Programming. Maaret explains all the important parts so that you can start with your own first Mob. I especially liked the section on common problems and how you can recover from them.,4
"=""""",Running Serverless,"Gojko explains in this book all you need to know about Serverless. The technological focus is on AWS Lambda but should be applicable to the serverless concepts of other big cloud vendors. I was surprised by the possibilities you can get from this technology, especially from the financial side that is based on only paying for the time your code is executed. That allows you to create identical environments for test and production (and every developer who wants an environment) and it will cost you only a fraction of a $ - you will not run those extra environments for long. That opens great opportunities that will have a significant impact on how we write software. This book explains all that in enough details so that you can understand the impact it may have on your company. ",4
"=""""",The Quick Python Book,The Quick Python Book was too quick for me as an entry to the Python programming language. The book covers a lot of topics and has all the basic parts of the language in it. What I missed was the big picture and an answer on the question “Why should I use Python?”. After reading the book I know many methods of the string class but I have no clue about what Python is great for. Adding a chapter on bigger things you can do where Python shows all its power would have been a great help to decide if I should spend more time with this language or not.,2
"=""9781472269058""",Strange Planet (Strange Planet #1),"A little book full of cartoons about aliens and their daily struggles. Most are funny, some are hilarious. Definitely a must read when you search for a little distraction.",5
"=""9781507212080""",The Little Book of Big Feelings: An Illustrated Exploration of Life's Many Emotions,"Another nice little book by Marzi, but not quiet up to the level of [b:Kind of Coping: An Illustrated Look at Life with Anxiety|40538944|Kind of Coping  An Illustrated Look at Life with Anxiety|Maureen Marzi Wilson|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545495642l/40538944._SX50_.jpg|62941508]. ",4
"=""9780553418811""",Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,"Interesting book about the problems of artificial intelligence and algorithms. What starts with good intentions to optimize and speeding up business processes can easily end in discrimination of minorities. The book is full of examples and show how little problems spiral to severe consequences. Definitely a must read for everyone working with AI and a good lecture for developers. <br/><br/>For me the second half felt a bit too repetitive. It is great when you only read a single chapter out of order, but not so much when you read the book from start to finish. <br/>",4
"=""9781491947234""",On Being a Data Skeptic,After reading [b:Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy|28186015|Weapons of Math Destruction  How Big Data Increases Inequality and Threatens Democracy|Cathy O'Neil|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456091964l/28186015._SX50_.jpg|48207762] this felt like a not so much structured summary of the main points of WMD. I didn’t like the separation in ‘Nerds’ and ‘Business People’ at all and would have been lost too often without knowing the WMD book. ,2
"=""""",Effective Decision-Making: How to make better decisions under uncertainty and pressure,"A book with a good start but then it falls short of all its goals. At the end you get a nice, long list of possible ways to come to a decision, but without the necessary pages to explain them well enough so that you can put them in action. I especially missed a comparison between the different approaches and when you should use which. If you know those approaches already, then you do not need to read this book. If you don’t know them this book will not change much. Therefore, do not bother reading it. ",1
"=""""",Organisational Mastery: The product development blueprint for executive leaders,"The more I think about this book the less I like it. On the one hand there are great ideas that you want to put in action right away (like the learning column on the Kanban board). On the other hand, there are so many parts where you must ask yourself what the author is trying to explain and what the intended audience is. Having a plan that can scale up and down as you need it sounds great. But it did not increase my confidence in this blueprint when the author feels the need to write down that this really works. I therefore cannot recommend this book. ",2
"=""9780131857254""","Agile Principles, Patterns, and Practices in C#","One of the biggest disappointments of all the books I read this year. The scope is far too big to cover it in one single book and it therefore lacks the pages to explain the many concepts it introduces. If you know those concepts before, then this is not a problem. But then again, why do you read this book? <br/><br/>The structure is no help either. The section 4 (Packaging the Payroll System) explains what you have to consider for package and component design (as you expect), but then goes on to explain patterns like Visitor, Adapter/Bridge and ends up with the database and Model View Presenter. Such a structure makes it extremely hard to find a specific topic – you more or less need to scan the whole chapter list to find the right place.<br/><br/>The bibliography is for once at the end of every chapter. While I liked that when reading the book for the first time, I hated it as soon as I had to check something. There are 30 places to look up – no problem with an eBook, but unfortunately, I have the print edition… <br/><br/>The book contains an enormous amount of code examples. Unfortunately again, one sees that they are translated from the previous edition of this book that uses Java. This means no C# specific code syntax and therefore not much that justifies the C# in the title. Especially since it ignores the generics, that would made examples like the BubbleSorter much simpler. <br/><br/>I think the topics this book covers are very important. But the way they are covered in this book makes it unnecessary hard to follow along. Instead of this book, you should get a book for each main part and not try to cover all with this one here. ",1
"=""9780767907699""","Slack: Getting Past Burnout, Busywork, and the Myth of Total Efficiency","Nicely written book by Tom DeMarco on the importance of slack. Without slack, there is no room for innovation. Then only if you have available capacity can you try something new. Otherwise, all those great ideas on how to improve will stall then no one has time to make them reality. ",4
"=""""",The Copywriter's Handbook: A Step-By-Step Guide To Writing Copy That Sells,The first half of this book is interesting and gives great inputs for your own writing – even when you do not write copy. The second part was too outdated and offered not much practical advice. ,3
"=""9780134494166""",Clean Architecture,"If you read [b:Clean Code: A Handbook of Agile Software Craftsmanship|3735293|Clean Code  A Handbook of Agile Software Craftsmanship|Robert C. Martin|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436202607l/3735293._SX50_.jpg|3779106] and [b:The Clean Coder: A Code of Conduct for Professional Programmers|10284614|The Clean Coder  A Code of Conduct for Professional Programmers|Robert C. Martin|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347470803l/10284614._SX50_.jpg|15186027], you may expect something similar to those two books about architecture. However, this book here lacks the practical, hands-on advice you get with the other two books. Clean Architecture talks a lot about SOLID and decoupling. Part 5 (Architecture), on the other hand, is a rather muddled collection of shallow concepts that lack the necessary details to be helpful. Great, there is a box and an arrow and a red line – but what does that mean? How do you make those boundaries? What should you consider? This book lacks all those basic parts that every other book on architecture offers - and not in a good way where you replace the parts that everyone knows with new and unique content. This book lets you guess what those images should mean and offers no help to apply those techniques with your own code.<br/><br/>To prove the importance of good software design we find a case study in chapter 1. If you only skim over, then everything looks sound and supportive of the claims made by Martin. However, as soon as you look a little bit closer, the whole study falls apart. There are 6 graphs to illustrate the findings of a study. Only 2 graphs bother with labelling both axes. If you look even closer, only 5 graphs are about that “study” and they tell a rather different story than what Martin makes out of it. The last graph is the best. It is about a small experiment solving the Roman Numerals Kata and measuring the time it took Jason Groman to complete it (3x with TDD, 3x without TDD). This graph cuts off 75% of the values (by starting at 22 minutes instead of 0), what turns the difference in speed from 10% to something that looks like a 50% time saving. Using tricks like this one to prove that TDD is such a great time saver is a disappointment, especially since Martin is such a vocal proponent for TDD. Is that all he has to prove his approach? <br/><br/><p>Another great example of the problems with this book is chapter 30 (the database is a detail). He throws in a bold claim and spend the next paragraph to explain that this can be misinterpreted and that he only talks about the technology and not the data model. Instead of explaining that, he could have written what he meant in the first paragraph. The rest of this chapter is a rather generic and short explanation on why one needs databases in the first place. Nothing new, nothing helpful in any form from an architectural perspective and again so shallow that you can’t learn anything from it. </p><br/><br/>For me this book is an absolute disappointment and the worst one on architecture I ever read. <br/>",1
"=""9781942788331""",Accelerate: Building and Scaling High Performing Technology Organizations,"This book describes the scientific study behind the State of DevOps reports. If you are interested in facts, research and how they figured out all the claims they make in the report, then this book is a must-read. Be aware, this book is not about how to implement DevOps. Here you learn why those practices work and how they interact with each other. ",5
"=""9780062407818""",Never Split the Difference: Negotiating as if Your Life Depended on It,A very interesting book about negotiation from the viewpoint of a hostage negotiator. Chris Voss explains what tricks and tactics you can use and how he learned them while doing his job.  ,4
"=""""",When Breath Becomes Air,"An incredible sad story written in an incredible beautiful language. I read the book in one go and was at the end weeping about the inevitable end. I am the same age as Paul Kalanithi and when I compare my health struggles to the challenges life gave him, then I can consider myself lucky. His book shows that there is hope even in desperate situations and one can achieve a lot as long as one does not give up. ",5
"=""""",Breaking into Information Security: Learning the Ropes 101,"A good basic introduction into the topic of Information Security. It starts with Boolean logic, makes a small introduction to programming, goes up to security scanners and explains how you should document your work for bug bounty programs and good bug reports. It is a short book and can therefore only give a short introduction. However, there are many links and references to learn more about this topic. ",4
"=""9780062720405""",Writing to Learn: How to Write--And Think--Clearly about Any Subject at All,This is a novel about writing non-fiction. It follows along one interesting idea that unfortunately is drown in an endless stream of stories and side stories that offer next to no insights. ,1
"=""9780060891541""",On Writing Well: The Classic Guide to Writing Nonfiction,"The explanation on how one can edit his own writing to get to the essence of the text impressed me most. The book explains this iterative work in a way I can follow and fully understand. <br/><br/>Rather disappointing is the amount of clutter that is inside this book. That is especially annoying after reading two chapters on how to get rid of it. Without all that non-essential wording, the book would only need 50 pages to deliver all its points. <br/>",2
"=""9781501135378""","Crash Override: How Gamergate (Nearly) Destroyed My Life, and How We Can Win the Fight Against Online Hate",An important book on how vulnerable everyone is against online harassment and how little one can do to fight it. ,5
"=""""",The Psychology of Software #Testing,"Over the last two years, I tried many times to read this book. I has some interesting ideas, but the framing and reasoning feels all wrong. The book is stuck for more than 3.5 years at 85% complete; therefore, there is still hope that those problems could be fixed. However, I fear a complete rewrite would be necessary to give the ideas the required clarity and space to be understandable by software developers without a degree in psychology.",1
"=""9781476765624""","Great at Work: How Top Performers Do Less, Work Better, and Achieve More","The book offers many great and memorable anecdotes, like the one about the race to the south pole by Amundsen and Scott. That part is interesting and shows nicely the point the author tries to make in this chapter. <br/><br/>The big problem I have with this book is that the author explains all those different reasons why people succeed with the same study. Even when those reasons are not related, the study shows that this hypothesis is true. It feels as if the data set is used to prove whatever idea the author has. That diminishes its value, then when you can explain everything using just the right subset, it has no value at all. <br/>",2
"=""9781848163102""",Science Research Writing for Non-Native Speakers of English,[b:The Scientist's Guide to Writing: How to Write More Easily and Effectively Throughout Your Scientific Career|27311903|The Scientist's Guide to Writing  How to Write More Easily and Effectively Throughout Your Scientific Career|Stephen B. Heard|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456092450l/27311903._SY75_.jpg|47368814] is a much better book for this topic. This book focus too much on the grammatical rules and offers not much help outside of scientific writing. ,3
"=""9781680500691""","Ruby Performance Optimization: Why Ruby Is Slow, and How to Fix It",Great book on optimizing the performance of your Ruby applications. Top tip: reduce memory allocation. What is not allocated does not need to be freed by the GC. ,5
"=""9781680502091""",Design It!: From Programmer to Software Architect (The Pragmatic Programmers),"A big disappointment. The title and the book do only partially match. There are many good points about software architecture, but it lacks the guide to go from programmer to architect. While the book offers an unusual amount of generic ideas (especially for a book published by the Pragmatic Bookshelf), it lacks all the parts that are important to software architecture: How do you decide which option to follow? How do you make fundamental decisions? How do you document them? How do you share the rules and restrictions you choose? Without answers to those questions, the book is nothing more as a nice list of things you can do.",1
"=""9781934356753""",Designed for Use: Create Usable Interfaces for Applications and the Web,The book offers a good overview on how the different parts of UX fit together. I missed new ideas and approaches that are not already covered in any other book on this topic. ,3
"=""9781452175867""",Am I Overthinking This?: Over-answering life’s questions in 101 charts,101 funny charts that let you think about topics you most likely never bothered about. ,5
"=""""",The Five Dysfunctions of a Team: A Leadership Fable,"A great book about the dysfunctions you may have in your team. I wish I had read this book a few years earlier. There are many lessons one can learn from the easy to follow fable.<br/>The most memorable part of the story is where Kathryn described how she promoted a high-performer that was toxic for the team. After she and that top-performer lost their jobs, the team that was left created significantly more output than with them. Keeping toxic people around hurts a team much more than what they contribute. Therefore, get rid of them as soon as possible. They hold everyone else back and as sooner they are gone, the better.<br/>",5
"=""9781733670326""",Words That Change Minds: The 14 Patterns for Mastering the Language of Influence,"The 14 patterns are an interesting way to divide groups of people. For me the different types and their reaction on certain constraints and situations offered many aha-moments. I am not full convinced of the method, but the book offered a few points that I can try with my next presentations. ",3
"=""""",The Only Academic Phrasebook You'll Ever Need: 600 Examples of Academic Language,A good list of phrases that you can use for academic writing. I found the examples of words that look similar but have a very different meaning especially helpful (like overlooked vs. overseen). ,4
"=""9781617294808""",Docker in Practice,"This book is no match for [b:Docker in Action|23612990|Docker in Action|Jeff Nickoloff|https://images.gr-assets.com/books/1482409574s/23612990.jpg|43216969], even when they are both about Docker and are published by Manning. It uses a Problem/Solution approach to explain Docker, what only partially works. It is a good fit for simple problems, but when it comes to complex topics in which you need a lot of background, this is not working. The formatting for Kindle was poor (especially the code examples) and far below the level of the other books published by Manning.",3
"=""9781943487028""",Predicting the Unpredictable,"An incredibly helpful book for everyone working in a project. The biggest challenge we all face is the question “How long does it take?”. Johanna has many great tips on how to find an answer to that question (split the work in small and understandable parts and estimate all those parts) and makes clear that estimating is always guessing. We will never have a precise estimate, but for most questions that is not needed - a range is all it takes, or confidence levels if your stakeholders are more familiar with them. I found so many places in this book where I could say “that’s exactly how it is” that I stopped highlighting those parts. If you have to do any form of estimates, you definitely should read this book!",5
"=""9781098834012""",Associations and Correlations for Medical Research: A Holistic Strategy To Help You Discover The Story of Your Data,"A bit repetitive when you know his other book [b:Practical Data Cleaning: 19 Essential Tips to Scrub Your Dirty Data|43813067|Practical Data Cleaning  19 Essential Tips to Scrub Your Dirty Data (Bite-Size Stats Book 5)|Lee Baker|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549111798l/43813067._SY75_.jpg|68176277]. However, there is a lot to learn about medical research, visualisation of data and statistics in general. ",3
"=""9781386728863""",Practical Data Cleaning: 19 Essential Tips to Scrub Your Dirty Data (Bite-Size Stats Book 5),"Do you work with data? If this is the case, you should read these 19 simple but important tips to scrub data. It starts with the preparation of your worksheets; explains how you should collect data and goes up to the important cross-checks to ensure that the data you work with makes sense. Simple checks on the age of your participants may save you from some embarrassing errors. Tips like these will make your data collection a lot less risky and reduces your error rate without much additional effort.",5
"=""9781680502411""",Take My Money: Accepting Payments on the Web,"This book explains all the things you need to know when you want to accept payment in your application. Noel shows you how to use Stripe and Paypal, explains how you implement and test your payment gateway and all the things that need to be considered when it comes to money. I was surprised how many things I would have forgotten. Definitely a must read when you want to include billing in your app.  ",5
"=""9780691170220""",The Scientist's Guide to Writing: How to Write More Easily and Effectively Throughout Your Scientific Career,"A great explanation on scientific writing. The book explains how you can get to this dense writing that is so typical for scientific papers. Even when I will never create such a type of writing, it gave me many helpful ideas on how to structure a large text and how I should organize my editing phase.",5
"=""9780134757681""",Refactoring: Improving the Design of Existing Code,"The second edition of the classic Refactoring book by Martin Fowler is more than just an update. It switched from Java to JavaScript for most of the examples, what lead to many renames of refactorings (for example: extract function instead of extract method). Most of the classical refactorings are still there and it had space for new ones like Split Phase – one practice I found by myself and now can refer to using a name. This tradition of giving names to practices around refactoring is continued and will be useful for the years to come. <br/><br/>The most significant change beside the programming language is that Fowler uses more and smaller steps to explain the refactoring. This makes it much easier to apply a refactoring to your own code and may change the perception of small steps being slow. The opposite is most often the case; smaller steps result in lot less fixing and debugging and that speeds up refactorings significantly. <br/><br/>I got the print edition and I’m disappointed with the thin paper they used. The back of the page can be seen and the headings use a rather bad combination of black and red that looks more like a defect than an intended design decision. ",5
"=""9780062390851""","Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are","A very interesting read about the possibilities and insights that you can get with the data collected by Google on its search engine. While everyone lies at surveys and to their friends, they ask Google all the questions they really want to know an answer to. The prediction of Trumps success at the election is just one example in which this data set predicted an unthinkable result quiet accurately. Set Stephens collected many examples to proof his point and gives an even better explanation on the limits of big data and the possible predictions. Definitively a must-read for all who care about what big companies can do with the data you offer them.",4
"=""""",Clean C#,"A quick read on how to write clean C#. It shows you examples for the most important points and is a good reminder on how to do it. However, it is too short to be helpful when you start with this topic or need to know a topic in more depth. ",3
"=""""",Statistik-Formeln für Dummies,"Gute Ergänzung zum Buch [b:Statistics for Dummies|168871|Statistics for Dummies|Deborah J. Rumsey|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348131404i/168871._SX50_.jpg|163074], da dort die Formeln ein wenig zu Kurz kommen.",3
"=""9780764554230""",Statistics for Dummies,"Gut gelungene Übersicht zum Thema Statistik. Die wichtigsten Begriffe werden einfach und verständlich erklärt und man erhält einen Einblick in die Abläufe von Umfragen, der Auswertung von Daten und wie man diese visualisiert. Stellenweise ein wenig zu viel Repetition, während an andren Orten ein wenig detaillierter auf die Konzepte eingegangen werden könnte. Alles in allem gut geeignet für alle die eine Auffrischung in Sachen Statistik oder eine erste Einführung benötigen.",4
"=""9783641172046""",Das anständige Unternehmen: Was richtige Führung ausmacht - und was sie weglässt (German Edition),"Leider kein Vergleich zum Buch [b:Mythos Motivation: Wege aus einer Sackgasse|29987993|Mythos Motivation  Wege aus einer Sackgasse|Reinhard K. Sprenger|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461496500i/29987993._SY75_.jpg|50390180] des gleichen Autors. Während es beim Buch zur Motivation um handfeste, messbare Dinge ging, gleiten hier zahlreiche Argumente in den Bereich philosophischer Haarspalterei ab (vor allem am Anfang wo es um die Begriffsdefinition geht). Leider wird das Buch im weiteren Verlauf nicht besser, sondern es mehren sich die Momente, die dem Muster «alter, weisser Mann versteht die Welt nicht mehr» folgen (z.B. bei den Ausführungen über die Geschlechterunterschiede oder das betriebliche Gesundheitsmanagement). <br/><br/>Der Ansatz, nicht zu beschreiben was ein anständiges Unternehmen tun soll, sondern nur zu beschreiben, was es nicht tut, mag noch halbwegs als innovativ durchgehen. Leider geht im Buch unter, wieso denn ein Unternehmen überhaupt anständig sein soll. Die vorgebrachten Begründungen greifen zu kurz und lassen sich durch unzählige Gegenbeispiele wiederlegen. Wenn man dem Buch schon so einen Titel gibt, hätte diese Frage mit deutlich fundierteren Argumenten untermauert werden müssen. Am Ende bleibt mir von diesem Buch der Eindruck, dass Sprenger die Ideen ausgehen und er sich auf seinem Erfolg ausruht. Schade, da wäre mehr drin gelegen.",1
"=""9780805082111""",Better: A Surgeon's Notes on Performance,"A great book on what it takes to get better in your field. The author collected many interesting examples in his field (medicine) and made it accessible to people without any medical education. His examples show how all starts with the wish (or the need) to improve and the steps one takes from there on. In the 11 essays he explains the problems doctors faced and what they did to overcome them – all are written in a way that you care about the outcome and still can think about the general points that may apply to your field as well. <br/><br/>I was especially impressed by the data-based feedback loops of the fast-moving combat hospitals and how their findings saved so many lives. Equally impressive where his examples on the health system of India, where the doctors had no other choice than to learn the more complex operations themselves because there are simply no specialists they could send their patients to. <br/>",5
"=""""",Event Streams in Action,It is a helpful book when you can work with the same tools as the author used to explain Event Streams. I was more interested in the concept itself and how this approach would influence the way I build applications. Those parts where not covered in enough details and I will need other books to find my answers.,2
"=""9781680502725""",Software Design X-Rays: Fix Technical Debt with Behavioral Code Analysis,"A great book about how to understand code without spending too much time reading it. If you are interested in the big picture this book will be a great help. It explains in great detail how you can use Git to find out what part of your code change often, who changed it, which parts need attention and offer themselves as a good starting point for refactoring. <br/><br/>With all the commands and ideas on how to visualize them, you can go and use those tricks in your own projects. It is surprisingly easy and helps you to add facts to your suspicions on what part of the codebase should be improved. <br/>",5
"=""""",Docker for Rails Developers,"A great introduction to Docker for Rails developers. You learn all the necessary steps to go from your development environment with a single image to the full-blown system with dedicated images for your database, your Redis server up to your headless browser testing. With all those parts in place, it explains the basics of K8s and all the additional parts your production management tools must handle (from auto-start to multiple instances for load balancing). ",5
"=""""",Docker in Action,An easy to follow introduction to Docker that explains all the important parts to use it from your development environment up to production. The examples are to the point and help you to get a quick start with your own images.,5
"=""9781916067806""","Technical Leadership: Dreams, success and unicorns","A short book with many interesting points on leadership. Some points I could agree without hesitation (like If you can’t manage your time, how will you manage your team?), while others got me thinking and challenging my ideas of leadership. It is not as detailed as [b:The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change|33369254|The Manager's Path  A Guide for Tech Leaders Navigating Growth and Change|Camille Fournier|https://images.gr-assets.com/books/1484107737s/33369254.jpg|54111007], but worthwhile reading nonetheless. ",4
"=""""",Der perfekte Auftritt: Taschenguide (Haufe TaschenGuide),"Dieses Buch liefert eine kurze (aber gute) Zusammenfassung über die einzelnen Aspekte für «perfekte» Auftritte. Leider ein wenig gar viel Inhalt, den man auch in anderen Büchern findet.",3
"=""9783648094181""",Souveräner Umgang mit schwierigen Zeitgenossen (Haufe TaschenGuide 294) (German Edition),Das Buch bietet zahlreiche interessante Ansätze für den Umgang mit schwierigen Personen. Die Erklärungen sind kurz und prägnant. Bei einigen Punkten wäre ich allerdings an einer deutlich längeren Erklärung interessiert gewesen. Dennoch ein lesenswertes Buch das einem neue Ideen gibt. ,4
"=""9781680502879""",Java by Comparison: Become a Java Craftsman in 70 Examples,"<p>Dieses Buch wagt sich an eine grosse Herausforderung: Wie kann man das über Jahre angeeignete Expertenwissen in einfacher Form Programmier-Anfängern zugänglich machen?<br/><br/>Die Autoren nutzen dazu 70 Beispiele, in denen ein funktionierender erster Wurf einer wartbaren und durchdachten Lösung gegenübergestellt wird. Die Unterschiede lassen sich ohne grossen Aufwand direkt erkennen. In der Druckversion ist die Ausgangslage jeweils auf der linken Seite beschrieben und das Resultat sowie die Verbesserungen befinden sich auf der rechten Seite – dadurch hat man immer beides im Blick. Dies macht es nicht nur einfach die Veränderungen zu sehen, sondern man bekommt genügend Kontext mitgeliefert, um den Unterschied zwischen beiden Lösungen auch zu verstehen.</p><br/><br/><p>Besonders gefallen hat mir der Teil aufräumen. Was als langweilige Pflichtaufgabe aussieht entpuppt sich als äusserst wertvolle Aktivität um den eigenen Code zu verbessern. Vereinfachte boolesche Ausdrücke, die Verhinderung von Negierung und der Verdeutlichung der eigentlichen Aufgabe sind Grundvoraussetzungen für wartbaren Code.</p><br/><br/><p>Die durchwegs aus der Praxis stammenden Beispiele werden gut und verständlich vermittelt. Daher ist dieses Buch aus meiner Sicht für alle Entwickler geeignet, die an wartbarem Code interessiert sind und sich verbessern wollen. Obwohl für Java geschrieben funktionieren fast alle Beispiele auch für .Net.</p><br/>",5
"=""9780984618101""",Just Enough Software Architecture: A Risk-Driven Approach,"I am very interested in the topic and hoped to get some good insights on the risk driven approach. Wold it not be great if we could do just enough software architecture in our projects and not more? This book only partially lives up to this promise. There are good and insightful parts (like combining risks and how much modelling should be done), but its too wordy and has far too much repetition in it. I especially liked the section further reading at the end of most chapters, where you get a list of books better explaining the content of the chapter you just read. That said, this book disappointed me, and I can’t recommend it.",2
"=""9781841655451""",Bletchley Park: Home of the Codebreakers,An interesting history lesion on the activities of Bletchley Park and the many interesting people working there. It gives interesting insights in the life at this top secret location and the many different challenges they had to overcome. ,3
"=""9781841655666""",Bletchley Park Demystifying the Bombe,A small but interesting book on the code breaking machines of Bletchley Park. It explains the many steps that needed to be done before they could break the Enigma and Lorenz machines. It is an ideal preparation before you visit the National Museum of Computing right next to the Bletchley Park site.,4
